username,timestamp,activity_type,ip_address,device_info,session_duration,files_accessed,failed_logins
user039,2026-04-23 11:59:06.980171,network_connect,192.168.1.29,Ubuntu,31.57,1,3
user029,2026-05-10 12:59:06.980171,email_send,192.168.1.148,macOS,17.54,6,2
user015,2026-04-23 15:59:06.980171,login,192.168.1.25,macOS,13.43,11,1
user043,2026-05-15 19:59:06.980171,login,192.168.1.70,macOS,28.06,10,0
user008,2026-04-30 17:59:06.980171,network_connect,192.168.1.63,macOS,6.44,9,2
user021,2026-05-06 10:59:06.980171,database_query,192.168.1.164,iPhone,118.24,9,2
user039,2026-04-29 16:59:06.980171,file_access,192.168.1.130,Ubuntu,91.02,9,1
user019,2026-05-16 10:59:06.980171,network_connect,192.168.1.150,Ubuntu,55.34,5,0
user023,2026-04-29 17:59:06.980171,email_send,192.168.1.224,iPhone,5.05,11,2
user011,2026-05-06 05:59:06.980171,email_send,192.168.1.16,macOS,67.3,7,2
user011,2026-04-19 05:59:06.980171,login,192.168.1.146,macOS,74.25,6,1
user024,2026-05-07 23:59:06.980171,email_send,192.168.1.197,Ubuntu,65.7,5,0
user036,2026-05-01 07:59:06.980171,network_connect,192.168.1.182,iPhone,5.44,10,7
user040,2026-05-06 06:59:06.980171,email_send,192.168.1.100,macOS,46.47,8,0
user024,2026-04-24 03:59:06.980171,network_connect,192.168.1.30,macOS,80.9,10,2
user003,2026-05-10 01:59:06.980171,file_access,192.168.1.45,macOS,38.75,9,1
user022,2026-04-30 23:59:06.980171,login,192.168.1.19,Windows-10,46.78,10,0
user002,2026-05-13 00:59:06.980171,email_send,192.168.1.215,iPhone,27.59,9,0
user024,2026-05-02 16:59:06.980171,network_connect,192.168.1.34,macOS,33.85,9,0
user044,2026-05-10 04:59:06.980171,database_query,192.168.1.141,Windows-10,1.57,11,0
user030,2026-04-23 10:59:06.980171,login,192.168.1.171,iPhone,45.84,10,0
user038,2026-05-03 13:59:06.980171,file_access,192.168.1.62,macOS,3.82,7,1
user002,2026-05-05 07:59:06.980171,network_connect,192.168.1.118,Ubuntu,25.69,9,0
user021,2026-05-08 06:59:06.980171,file_access,192.168.1.221,Windows-10,15.58,9,0
user033,2026-05-11 05:59:06.980171,file_access,192.168.1.100,Windows-10,35.48,2,2
user012,2026-04-25 01:59:06.980171,email_send,192.168.1.22,macOS,6.44,11,1
user022,2026-04-26 15:59:06.980171,email_send,192.168.1.180,macOS,52.94,9,2
user044,2026-05-04 07:59:06.980171,network_connect,192.168.1.180,Windows-10,71.32,5,1
user025,2026-04-27 15:59:06.980171,database_query,192.168.1.111,Ubuntu,8.03,2,0
user049,2026-05-09 03:59:06.980171,network_connect,192.168.1.164,Ubuntu,4.96,6,2
user027,2026-05-02 14:59:06.980171,database_query,192.168.1.73,iPhone,7.08,6,0
user042,2026-04-29 23:59:06.980171,file_access,192.168.1.231,macOS,94.35,6,3
user028,2026-04-19 04:59:06.980171,login,192.168.1.243,Ubuntu,33.8,8,1
user016,2026-04-18 02:59:06.980171,network_connect,192.168.1.147,iPhone,99.19,52,6
user015,2026-05-11 19:59:06.980171,network_connect,192.168.1.38,Ubuntu,5.08,7,1
user047,2026-04-30 12:59:06.980171,database_query,192.168.1.70,macOS,47.18,6,0
user044,2026-05-11 05:59:06.980171,file_access,192.168.1.116,iPhone,91.12,8,1
user003,2026-05-03 22:59:06.980171,file_access,192.168.1.239,iPhone,79.26,9,0
user037,2026-05-15 10:59:06.980171,database_query,192.168.1.79,iPhone,44.26,8,0
user007,2026-04-20 09:59:06.980171,file_access,192.168.1.185,Ubuntu,3.52,7,1
user021,2026-05-16 19:59:06.980171,email_send,192.168.1.148,macOS,5.37,12,0
user009,2026-05-13 11:59:06.980171,login,192.168.1.9,iPhone,2.28,8,1
user039,2026-05-09 23:59:06.980171,network_connect,192.168.1.32,Windows-10,13.4,6,1
user018,2026-04-25 10:59:06.980171,login,192.168.1.132,macOS,6.56,9,1
user004,2026-05-11 07:59:06.980171,network_connect,192.168.1.50,Windows-10,13.55,7,0
user025,2026-04-24 05:59:06.980171,email_send,192.168.1.82,Windows-10,21.88,8,2
user014,2026-05-14 00:59:06.980171,file_access,192.168.1.5,iPhone,128.9,9,4
user050,2026-04-23 09:59:06.980171,database_query,192.168.1.148,iPhone,42.42,7,0
user009,2026-04-30 21:59:06.980171,email_send,192.168.1.87,Ubuntu,81.07,7,3
user026,2026-05-02 09:59:06.980171,login,192.168.1.126,Ubuntu,55.76,6,0
user002,2026-05-08 10:59:06.980171,database_query,192.168.1.75,Ubuntu,5.37,7,2
user020,2026-04-18 20:59:06.980171,file_access,192.168.1.165,macOS,59.92,10,2
user028,2026-04-25 19:59:06.980171,email_send,192.168.1.22,Ubuntu,14.48,10,2
user047,2026-05-08 20:59:06.980171,database_query,192.168.1.186,Windows-10,45.86,7,0
user007,2026-04-17 23:59:06.980171,email_send,192.168.1.68,Ubuntu,18.76,10,1
user044,2026-05-05 09:59:06.980171,email_send,192.168.1.221,iPhone,272.83,6,0
user008,2026-04-30 19:59:06.980171,file_access,192.168.1.44,Ubuntu,48.195,53,7
user047,2026-04-21 15:59:06.980171,network_connect,192.168.1.34,macOS,14.73,7,1
user035,2026-05-04 02:59:06.980171,database_query,192.168.1.77,macOS,120.1,7,2
user014,2026-04-19 05:59:06.980171,file_access,192.168.1.42,Windows-10,1.12,8,1
user017,2026-04-19 01:59:06.980171,email_send,192.168.1.137,macOS,53.68,9,0
user036,2026-05-06 06:59:06.980171,file_access,192.168.1.106,Ubuntu,58.15,9,2
user050,2026-04-24 10:59:06.980171,network_connect,192.168.1.95,iPhone,81.46,10,3
user040,2026-05-03 12:59:06.980171,database_query,192.168.1.135,macOS,165.0,7,1
